keyword,search_volume,keyword_difficulty,cpc,competition
888 casino,33100,29,4.51,MEDIUM
online casino ireland,6600,30,163.27,LOW
casino ireland online,6600,30,163.27,LOW
irish online casino,6600,46,163.27,LOW
best online casino ireland,1300,33,142.2,LOW
best irish online casino,1300,19,142.2,LOW
online slots ireland,720,29,139.23,LOW
top 10 irish online casinos,320,34,101.3,LOW
best casino ireland,320,15,114.51,MEDIUM
gambling sites ireland,320,34,169.85,MEDIUM
casino live online,320,35,112.29,LOW
no deposit bonus ireland,320,0,9.18,LOW
50 free spins no deposit,320,8,12.27,MEDIUM
online casino ireland no deposit,260,6,23.75,LOW
free 5 euro no deposit bonus casino ireland,260,0,8.25,LOW
100 free spins no deposit ireland,170,11,12.5,MEDIUM
online gambling ireland,170,32,107.33,LOW
new casino online ireland,140,37,118.02,LOW
casino online ireland real money,140,37,155.17,HIGH
live casino ireland,140,22,161.22,LOW
best online casino ireland real money,110,34,123.28,MEDIUM
trusted online casino,110,35,82.89,LOW
50 euro free no deposit casino ireland,110,0,8.05,MEDIUM
mobile casino ireland,90,46,0,LOW
best online slots ireland,90,29,185.37,MEDIUM
casino bonus ireland,90,15,121.28,LOW
free spins ireland,90,12,71.73,MEDIUM
new online casino ireland,70,21,80.55,LOW
instant withdrawal casino ireland,70,0,120.08,MEDIUM
safe online casino ireland,50,28,126.08,LOW
casino no deposit bonus ireland,50,5,11.68,MEDIUM
